kode,uraian,fungsi_operasional,uraian_enriched,ai_search_context
000,umum,000,Umum,Kode 000 (000): Umum
000.1,ketatausahaan dan kerumahtanggaan,000.1,Ketatausahaan dan kerumahtanggaan,Kode 000.1 (000.1): Ketatausahaan dan kerumahtanggaan
000.1.1,telekomunikasi,000.1,Telekomunikasi,Kode 000.1.1 (000.1): Telekomunikasi
000.1.2,perjalanan dinas dalam negeri,000.1,Perjalanan dinas dalam negeri,Kode 000.1.2 (000.1): Perjalanan dinas dalam negeri
000.1.2.1,perjalanan dinas kepala daerah,000.1,Perjalanan dinas kepala daerah (bupati/walikota/gubernur),Kode 000.1.2.1 (000.1): Perjalanan dinas kepala daerah (bupati/walikota/gubernur)
000.1.2.2,perjalanan dinas dprd,000.1,Perjalanan dinas dewan perwakilan rakyat daerah (dprd),Kode 000.1.2.2 (000.1): Perjalanan dinas dewan perwakilan rakyat daerah (dprd)
000.1.2.3,perjalanan dinas pegawai,000.1,Perjalanan dinas pegawai,Kode 000.1.2.3 (000.1): Perjalanan dinas pegawai
000.1.3,perjalanan dinas luar negeri,000.1,Perjalanan dinas luar negeri,Kode 000.1.3 (000.1): Perjalanan dinas luar negeri
000.1.3.1,perjalanan dinas kepala daerah,000.1,Perjalanan dinas kepala daerah (bupati/walikota/gubernur),Kode 000.1.3.1 (000.1): Perjalanan dinas kepala daerah (bupati/walikota/gubernur)
000.1.3.2,perjalanan dinas dprd,000.1,Perjalanan dinas dewan perwakilan rakyat daerah (dprd),Kode 000.1.3.2 (000.1): Perjalanan dinas dewan perwakilan rakyat daerah (dprd)
000.1.3.3,perjalanan dinas pegawai,000.1,Perjalanan dinas pegawai,Kode 000.1.3.3 (000.1): Perjalanan dinas pegawai
000.1.4,penggunaan fasilitas kantor antara lain permintaan dan penggunaan ruang gedung kendaraan wisma rumah dinas dan fasilitas kantor lainnya,000.1,Penggunaan fasilitas kantor  permintaan dan penggunaan ruang gedung kendaraan wisma rumah dinas dan fasilitas kantor lainnya,Kode 000.1.4 (000.1): Penggunaan fasilitas kantor  permintaan dan penggunaan ruang gedung kendaraan wisma rumah dinas dan fasilitas kantor lainnya
000.1.5,rapat pimpinan antara lain: notula atau risalah rapat,000.1,Rapat pimpinan  notula atau risalah rapat,Kode 000.1.5 (000.1): Rapat pimpinan  notula atau risalah rapat
000.1.6,penyediaan konsumsi,000.1,Penyediaan konsumsi,Kode 000.1.6 (000.1): Penyediaan konsumsi
000.1.7,pengurusan kendaraan dinas,000.1,Pengurusan kendaraan dinas,Kode 000.1.7 (000.1): Pengurusan kendaraan dinas
000.1.7.1,pengurusan surat-surat kendaraan dinas,000.1,Pengurusan surat-surat kendaraan dinas,Kode 000.1.7.1 (000.1): Pengurusan surat-surat kendaraan dinas
000.1.7.2,pemeliharaan dan perbaikan,000.1,Pemeliharaan dan perbaikan,Kode 000.1.7.2 (000.1): Pemeliharaan dan perbaikan
000.1.7.3,pengurusan kehilangan dan masalah kendaraan,000.1,Pengurusan kehilangan dan masalah kendaraan,Kode 000.1.7.3 (000.1): Pengurusan kehilangan dan masalah kendaraan
000.1.8,pemeliharaan gedung taman dan peralatan kantor,000.1,Pemeliharaan gedung taman dan peralatan kantor,Kode 000.1.8 (000.1): Pemeliharaan gedung taman dan peralatan kantor
000.1.8.1,pertamanan atau landscape     ,000.1,Pertamanan atau landscape,Kode 000.1.8.1 (000.1): Pertamanan atau landscape
000.1.8.2,penghijauan,000.1,Penghijauan,Kode 000.1.8.2 (000.1): Penghijauan
000.1.8.3,perbaikan gedung,000.1,Perbaikan gedung,Kode 000.1.8.3 (000.1): Perbaikan gedung
000.1.8.4,perbaikan peralatan kantor,000.1,Perbaikan peralatan kantor,Kode 000.1.8.4 (000.1): Perbaikan peralatan kantor
000.1.8.5,perbaikan rumah dinas atau wisma,000.1,Perbaikan rumah dinas atau wisma,Kode 000.1.8.5 (000.1): Perbaikan rumah dinas atau wisma
000.1.8.6,kebersihan gedung dan taman,000.1,Kebersihan gedung dan taman,Kode 000.1.8.6 (000.1): Kebersihan gedung dan taman
000.1.9.1,perbaikan atau pemeliharaan,000.1,Perbaikan atau pemeliharaan,Kode 000.1.9.1 (000.1): Perbaikan atau pemeliharaan
000.4.3.3,hadiah,000.4,Hadiah,Kode 000.4.3.3 (000.4): Hadiah
000.4.6.1,keanggotaan,000.4,Keanggotaan,Kode 000.4.6.1 (000.4): Keanggotaan
000.4.6.2,peminjaman,000.4,Peminjaman,Kode 000.4.6.2 (000.4): Peminjaman
000.4.6.3,pengembangan gemar baca,000.4,Pengembangan gemar baca,Kode 000.4.6.3 (000.4): Pengembangan gemar baca
000.4.7,kerjasama perpustakaan,000.4,Kerjasama perpustakaan,Kode 000.4.7 (000.4): Kerjasama perpustakaan
000.4.7.1,mou,000.4,Memorandum of understanding (nota kesepahaman/pks),Kode 000.4.7.1 (000.4): Memorandum of understanding (nota kesepahaman/pks)
000.4.7.2,perjanjian kerjasama,000.4,Perjanjian kerjasama,Kode 000.4.7.2 (000.4): Perjanjian kerjasama
000.4.7.3,partisipasi organisasi profesi dan kerjasama internasional,000.4,Partisipasi organisasi profesi dan kerjasama internasional,Kode 000.4.7.3 (000.4): Partisipasi organisasi profesi dan kerjasama internasional
000.4.8,pengembangan implementasi teknologi informasi perpustakaan,000.4,Pengembangan implementasi teknologi informasi perpustakaan,Kode 000.4.8 (000.4): Pengembangan implementasi teknologi informasi perpustakaan
000.4.8.1,pengembangan situs web,000.4,Pengembangan situs web,Kode 000.4.8.1 (000.4): Pengembangan situs web
000.4.8.2,pengembangan kemas ulang informasi multimedia,000.4,Pengembangan kemas ulang informasi multimedia,Kode 000.4.8.2 (000.4): Pengembangan kemas ulang informasi multimedia
000.4.8.3,pengembangan program aplikasi perpustakaan,000.4,Pengembangan program aplikasi perpustakaan,Kode 000.4.8.3 (000.4): Pengembangan program aplikasi perpustakaan
000.4.8.4,pengembangan pangkalan data kepustakaan digital,000.4,Pengembangan pangkalan data kepustakaan digital,Kode 000.4.8.4 (000.4): Pengembangan pangkalan data kepustakaan digital
000.4.9,pangkalan data layanan perpustakaan,000.4,Pangkalan data layanan perpustakaan,Kode 000.4.9 (000.4): Pangkalan data layanan perpustakaan
000.4.10,konservasi,000.4,Konservasi,Kode 000.4.10 (000.4): Konservasi
000.4.10.1,perawatan bahan perpustakaan,000.4,Perawatan bahan perpustakaan,Kode 000.4.10.1 (000.4): Perawatan bahan perpustakaan
000.4.10.2,perbaikan bahan perpustakaan,000.4,Perbaikan bahan perpustakaan,Kode 000.4.10.2 (000.4): Perbaikan bahan perpustakaan
000.4.10.3,penjilidan bahan perpustakaan,000.4,Penjilidan bahan perpustakaan,Kode 000.4.10.3 (000.4): Penjilidan bahan perpustakaan
000.4.12,transformasi digital,000.4,Transformasi digital,Kode 000.4.12 (000.4): Transformasi digital
000.4.13,kurasi digital,000.4,Kurasi digital,Kode 000.4.13 (000.4): Kurasi digital
000.4.14,pengembangan perpustakaan,000.4,Pengembangan perpustakaan,Kode 000.4.14 (000.4): Pengembangan perpustakaan
000.4.14.1,perpustakaan umum,000.4,Perpustakaan umum,Kode 000.4.14.1 (000.4): Perpustakaan umum
000.4.14.2,perpustakaan khusus,000.4,Perpustakaan khusus,Kode 000.4.14.2 (000.4): Perpustakaan khusus
000.4.14.3,perpustakaan sekolah,000.4,Perpustakaan sekolah,Kode 000.4.14.3 (000.4): Perpustakaan sekolah
000.4.14.4,perpustakaan perguruan tinggi,000.4,Perpustakaan perguruan tinggi,Kode 000.4.14.4 (000.4): Perpustakaan perguruan tinggi
000.5,kearsipan,000.5,Kearsipan,Kode 000.5 (000.5): Kearsipan
000.5.1,kebijakan di bidang kearsipan yang dilakukan oleh pemerintah daerah,000.5,Kebijakan di bidang kearsipan yang dilakukan oleh pemerintah daerah,Kode 000.5.1 (000.5): Kebijakan di bidang kearsipan yang dilakukan oleh pemerintah daerah
000.5.2,pembinaan kearsipan,000.5,Pembinaan kearsipan,Kode 000.5.2 (000.5): Pembinaan kearsipan
